04.00	"Spinoza"		1632	1677	1661
03.00	"Descartes"		1596	1650	1637
05.00	"Leibniz"		1646	1716	1714
03.00	"Kant"			1724	1804	1781
02.00	"Hobbes"		1588	1679	1651	1646
01.00	"Locke"			1632	1704	1690
00.00	"Nietzsche"		1844	1900	1878
00.00	"Hume"			1711	1776	1739
01.00	"Schopenhauer"	1788	1860	1819
02.00	"Hegel"			1770	1831	1807	1812
01.00	"Heidegger"		1889	1976	1927
02.00	"Wittgenstein"	1889	1951	1921
05.00	"Russell"		1872	1970	1910
04.00	"Whitehead"		1891	1947	1929	1910
03.00	"Bergson"		1859	1941	1896
06.00	"Frege"			1848	1925	1884	1891
00.00	"Bacon"			1561	1626	1620
07.00	"Husserl"		1859	1938	1900
00.00	"Gödel"			1906	1978	1931
08.00	"Quine"			1908	2000	1960
09.00	"Bochenski"		1902	1995	1948
